@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 numeric

@data
145,'2017/06/08 10:58:36:760',2,547.962891,419.782806,49.453594,485.769653,437.26593,64.119141,426.896454,443.069702,66.324028,371.765991,442.957611,63.50943,319.144684,452.529175,56.578552,0
146,'2017/06/08 10:58:36:811',2,540.826904,417.158691,50.086712,478.487732,435.274872,64.760284,419.735565,442.015137,66.892799,365.073273,443.415314,63.975655,314.942963,455.618073,57.019474,0
147,'2017/06/08 10:58:36:861',2,535.534424,414.484467,50.415215,471.907806,432.918854,65.099937,412.751038,439.967621,67.13855,358.804779,442.7677,64.082748,310.563416,456.371277,57.063709,0
148,'2017/06/08 10:58:36:912',2,531.06073,411.398926,50.361633,464.376831,429.35614,65.179123,404.279175,436.468475,67.087082,350.873962,440.109192,63.878208,304.21701,455.004303,56.783997,0
149,'2017/06/08 10:58:36:960',2,527.800781,409.452484,50.156586,456.953735,425.947235,65.006081,395.403656,432.713806,66.763985,342.125305,436.310608,63.356133,297.025726,452.40625,56.172215,0
150,'2017/06/08 10:58:37:011',2,526.234558,408.610962,49.676048,448.724243,421.943909,64.377998,384.933594,427.249329,65.888504,332.030823,429.916809,62.188942,287.16037,446.227112,54.814693,0
151,'2017/06/08 10:58:37:061',2,528.691528,411.110168,48.447166,442.506805,417.216156,62.797958,376.335541,419.452148,63.97876,324.067871,420.220734,59.938187,278.402557,435.478851,52.365883,0
152,'2017/06/08 10:58:37:111',2,532.915039,416.6362,47.203209,443.395294,413.561157,60.834324,376.087433,411.940002,61.713886,324.814667,409.892639,57.387081,278.545563,423.371094,49.647003,0
153,'2017/06/08 10:58:37:160',2,535.701782,419.23645,46.621037,447.921722,412.944336,60.014626,380.584625,409.933502,60.871773,329.145752,405.569763,56.465672,282.295959,418.208435,48.679214,0
154,'2017/06/08 10:58:37:211',2,541.534729,421.894226,46.018673,454.417114,415.129578,59.440147,387.036652,410.968903,60.349609,335.598999,403.395691,55.946331,288.17276,414.397552,48.101582,0
155,'2017/06/08 10:58:37:261',2,549.374878,425.240051,45.163681,465.358673,419.468781,58.741905,398.334839,414.461151,59.919949,346.493073,404.905975,55.74881,297.899109,414.287537,47.950665,0
156,'2017/06/08 10:58:37:310',2,555.202881,428.201752,44.801659,474.405121,423.477783,58.462372,408.052368,417.865356,59.907352,355.994324,408.003723,55.957684,306.639404,416.158875,48.26762,0
157,'2017/06/08 10:58:37:360',2,560.43042,431.8078,45.037373,483.102051,427.320313,58.773922,417.289307,421.173401,60.4459,365.07605,411.215302,56.697887,314.317505,417.892242,49.109356,0
158,'2017/06/08 10:58:37:411',2,568.366638,436.435547,45.748684,496.12561,433.933929,59.687065,431.047119,427.619629,61.748817,378.020294,417.262665,58.354237,325.24292,422.629608,50.949753,0
159,'2017/06/08 10:58:37:460',2,579.106812,438.151855,46.321877,511.054565,439.109406,60.530659,446.296173,433.900909,62.986412,391.933716,424.25061,59.955406,337.368256,429.327087,52.774319,0
160,'2017/06/08 10:58:37:511',2,589.650146,437.636475,46.9464,524.467041,443.018188,61.426304,459.941376,439.617645,64.224831,404.385468,431.300415,61.525238,348.634796,437.047394,54.579227,0
161,'2017/06/08 10:58:37:561',2,594.20282,434.259277,47.460724,532.950439,444.503296,62.082111,468.840332,443.657318,65.168182,412.575867,437.631958,62.773163,356.494568,444.465271,56.050583,0
162,'2017/06/08 10:58:37:612',2,592.880554,428.333099,48.126736,535.291626,442.035461,62.73856,471.87738,444.41684,65.881973,415.392365,441.394318,63.60717,359.889893,449.908539,56.979568,0
163,'2017/06/08 10:58:37:661',2,586.389893,419.319733,48.684402,535.610107,437.460968,63.325634,474.214417,444.09317,66.579353,417.780243,445.372223,64.442627,364.102264,457.056946,57.92411,0
164,'2017/06/08 10:58:37:711',2,577.086487,411.108643,49.173782,531.701416,431.846039,63.805252,471.966858,440.730682,67.022087,416.334076,446.41922,64.791481,365.555847,460.868134,58.243668,0
165,'2017/06/08 10:58:37:761',2,567.179932,403.067963,49.276871,526.717712,426.940338,64.092773,468.108887,437.929932,67.261246,414.038025,446.81778,64.964104,366.327484,464.203064,58.311447,0
166,'2017/06/08 10:58:37:811',2,556.91272,396.447327,49.125599,519.045471,423.145874,64.142365,461.358978,436.333527,67.16716,408.728851,447.044891,64.768677,364.908386,467.055664,57.960339,0
167,'2017/06/08 10:58:37:861',2,543.056519,392.408539,48.710575,499.895233,419.659149,63.980404,440.194672,433.14267,66.656586,388.882385,444.251099,63.927361,349.472534,467.097626,56.867905,0
168,'2017/06/08 10:58:37:911',2,534.727356,394.814026,47.649097,474.280792,416.554443,62.733025,409.541901,426.757538,64.712555,358.463837,436.483704,61.385887,322.515076,459.968262,54.155659,0
169,'2017/06/08 10:58:37:960',2,534.719971,398.825226,46.145863,460.036346,414.652161,60.651554,392.295715,422.141541,61.949089,341.4375,429.613159,58.069298,307.157379,453.073242,50.683491,0
170,'2017/06/08 10:58:38:011',2,539.72052,403.40799,45.231968,457.036804,414.337646,59.186497,387.582733,419.322571,60.017059,337.392975,424.972473,55.785301,303.182068,448.175385,48.32222,0
171,'2017/06/08 10:58:38:061',2,545.645081,409.231171,44.83474,460.160492,416.191467,58.124443,389.907501,420.386169,58.612267,340.432281,423.810608,54.130054,305.989075,446.331177,46.570957,0
172,'2017/06/08 10:58:38:110',2,547.76123,416.457397,45.407036,460.910217,419.648499,58.128532,389.980255,422.349365,58.359299,341.344788,423.661438,53.66938,305.618896,444.635712,45.950874,0
173,'2017/06/08 10:58:38:161',2,546.660889,426.761169,47.045326,460.883514,427.80365,59.343224,389.825836,428.579712,59.473671,341.608093,426.945679,54.666924,303.681,445.371643,46.737907,0
174,'2017/06/08 10:58:38:211',2,546.486145,434.828674,48.351822,459.895996,435.491882,60.467392,389.199463,434.293945,60.514954,341.642365,429.904083,55.643791,302.293945,445.595306,47.466949,0
175,'2017/06/08 10:58:38:260',2,546.721069,442.999756,49.68705,462.961548,443.276337,61.914707,393.089111,440.753479,62.164036,345.115601,434.253662,57.437263,303.232727,447.65744,49.236404,0
