@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 numeric

@data
585,'2017/06/08 10:54:18:489',8,487.755463,229.056091,46.735443,501.22168,239.342682,50.103127,483.084167,221.045563,52.354931,445.495605,225.037018,51.126324,423.885437,226.69928,46.986778,0
586,'2017/06/08 10:54:18:539',8,485.454285,223.819336,47.181175,499.220825,234.427032,50.631645,481.060303,215.219086,52.890282,443.687561,220.466492,51.74976,421.618225,221.775452,47.623123,0
587,'2017/06/08 10:54:18:589',8,482.205139,217.668884,47.371708,495.411163,228.576752,51.072525,477.303314,208.941711,53.190868,440.082733,214.61261,52.074802,418.166992,216.130341,47.93494,0
588,'2017/06/08 10:54:18:640',8,479.226105,212.572327,47.261936,491.985291,223.561646,51.151424,474.08609,203.600403,53.15794,437.033691,209.771912,52.095482,414.829926,211.20517,47.954231,0
589,'2017/06/08 10:54:18:690',8,474.728638,207.609497,47.238766,486.668427,218.699432,51.266403,468.612183,198.92746,53.203186,431.888428,205.5,52.118561,409.693298,206.615631,47.937634,0
590,'2017/06/08 10:54:18:740',8,467.572449,202.450989,47.05368,474.480896,213.767487,51.232727,456.832825,195.175873,53.012814,420.613007,201.198151,51.658611,399.884521,201.242401,47.293884,0
591,'2017/06/08 10:54:18:790',8,459.06955,197.296173,47.263603,465.391541,208.595367,51.590614,447.546448,190.403412,53.288326,411.77301,197.466827,51.972733,390.647034,197.08606,47.584991,0
592,'2017/06/08 10:54:18:839',8,448.260681,194.655365,47.278461,453.459442,206.297852,51.729557,435.325623,188.176483,53.375713,399.474152,195.150055,51.962254,379.252594,195.049622,47.52018,0
593,'2017/06/08 10:54:18:890',8,436.498352,193.618835,47.357597,440.926605,206.075348,51.87709,423.63269,187.433289,53.588593,387.046021,194.713501,52.115868,367.062164,193.960205,47.640209,0
594,'2017/06/08 10:54:18:941',8,421.003143,193.131195,47.16716,424.51767,205.842438,51.880035,406.892609,187.169556,53.497723,369.936218,194.672211,51.944252,350.750183,194.332458,47.401051,0
595,'2017/06/08 10:54:18:990',8,407.364227,193.428741,47.217888,407.905457,207.037506,52.268208,392.488129,185.424377,53.702126,353.484863,195.552704,52.140022,335.276978,195.043671,47.521465,0
596,'2017/06/08 10:54:19:040',8,396.035278,194.196411,47.107433,394.626556,209.444855,52.522823,380.912415,186.483276,54.024429,340.625702,197.534515,52.343121,323.146088,196.353333,47.689442,0
597,'2017/06/08 10:54:19:089',8,387.930817,194.587708,46.961739,384.421082,211.035614,52.671051,371.487457,187.309204,54.203445,330.554291,198.963867,52.415714,313.688263,197.597321,47.737717,0
598,'2017/06/08 10:54:19:140',8,378.108551,195.830261,46.569443,375.076294,213.19162,52.475342,361.351898,189.797394,54.08778,320.548157,201.829254,52.285385,303.335358,200.622955,47.630905,0
599,'2017/06/08 10:54:19:190',8,370.021057,198.113678,45.997768,366.283569,215.995911,51.997478,352.060822,193.285278,53.639862,311.460358,205.105255,51.753666,294.518677,204.001587,47.088032,0
600,'2017/06/08 10:54:19:240',8,364.639679,201.093048,45.419415,360.617798,219.590668,51.448502,345.882263,198.221191,53.181587,305.538116,209.240753,51.249203,288.507935,208.352844,46.61058,0
601,'2017/06/08 10:54:19:289',8,358.854919,205.250092,45.047958,354.83432,224.283691,51.044228,339.62085,204.379364,52.870831,300.013489,215.059174,50.884258,283.075256,214.664948,46.302315,0
602,'2017/06/08 10:54:19:340',8,353.227386,209.950562,44.333363,348.88562,229.320038,50.385807,332.62915,210.300262,52.209309,294.654297,222.281036,50.196911,277.492554,221.917328,45.643288,0
603,'2017/06/08 10:54:19:390',8,346.361359,214.385834,43.237289,340.613007,232.155579,49.511078,323.249878,217.210205,51.153614,287.187317,229.092255,49.072044,270.465454,229.289703,44.536316,0
604,'2017/06/08 10:54:19:439',8,335.853699,219.121704,41.638218,328.703979,233.814789,48.203342,309.591522,227.112488,49.603962,276.325897,237.730103,47.48452,259.696655,238.569489,42.967251,0
605,'2017/06/08 10:54:19:490',8,332.016052,222.926422,40.314453,321.975983,235.325775,47.05677,302.992126,235.036255,48.354431,271.288361,244.955307,46.292732,253.950333,246.035995,41.803501,0
606,'2017/06/08 10:54:19:540',8,330.558929,226.619995,39.195202,316.642456,239.420288,45.973839,298.780914,242.99353,47.204605,268.020935,250.890869,45.114887,251.095108,252.152252,40.626438,0
607,'2017/06/08 10:54:19:590',8,331.200256,231.760681,37.974751,311.27124,246.232864,44.707779,294.495026,252.268829,45.775627,265.610565,258.270813,43.577412,249.702179,259.112915,39.047882,0
608,'2017/06/08 10:54:19:640',8,335.634094,236.792908,36.005928,313.66333,252.297729,42.850487,297.706512,258.953125,43.928635,270.814087,265.244995,41.778347,254.196411,265.827759,37.292358,0
609,'2017/06/08 10:54:19:690',8,341.098602,240.706757,34.160965,319.143921,258.071106,41.174286,304.441467,265.095032,42.295311,278.378998,271.769531,40.23214,261.442322,273.226807,35.820789,0
610,'2017/06/08 10:54:19:740',8,347.053711,244.60202,33.271175,324.612518,262.942322,40.220402,310.24585,270.440186,41.289497,284.37207,276.874084,39.188114,267.763306,278.273743,34.771343,0
611,'2017/06/08 10:54:19:790',8,357.433228,247.062836,32.203033,336.611145,267.809845,39.203045,322.739685,274.164276,40.34481,297.002625,281.010742,38.29763,280.285828,283.05188,33.913147,0
612,'2017/06/08 10:54:19:840',8,372.487244,248.277603,31.981203,353.314697,271.483734,39.013012,339.384949,275.88092,40.288506,314.390076,283.414978,38.309052,296.916443,285.690247,33.995407,0
613,'2017/06/08 10:54:19:891',8,395.975159,252.722,32.760323,373.609283,276.741394,39.476036,358.748047,280.697113,40.667397,333.755829,287.572083,38.482761,316.361694,287.907898,34.138397,0
614,'2017/06/08 10:54:19:939',8,416.265472,263.174408,33.474274,391.796204,284.713562,40.112648,375.293518,287.090759,41.230133,350.633606,294.984009,38.786148,335.091125,294.728516,34.336521,0
615,'2017/06/08 10:54:19:989',8,429.59906,272.962708,34.044449,411.580292,290.567413,39.84697,394.39151,291.629639,40.960655,368.456757,299.075073,38.462986,353.193115,298.331787,33.961784,0
616,'2017/06/08 10:54:20:040',8,445.274658,277.939545,34.705956,432.627716,291.514771,39.919727,415.114166,291.896912,41.101421,387.105713,299.592407,38.650314,370.346039,298.278687,34.194756,0
617,'2017/06/08 10:54:20:089',8,451.45816,280.777283,35.867996,446.556671,287.411194,40.54068,428.520477,292.265961,41.572067,399.664185,298.789185,39.183598,383.382843,299.091064,34.716316,0
618,'2017/06/08 10:54:20:139',8,461.765747,282.764648,36.675461,460.906067,283.809448,40.610023,442.575317,289.477722,41.716141,410.702271,293.234131,39.551952,396.335236,298.410706,35.098007,0
619,'2017/06/08 10:54:20:190',8,471.717621,282.63916,37.170029,471.928619,281.298462,40.783337,453.188873,286.921448,41.961468,418.604614,287.681152,39.9095,405.596252,296.211914,35.502071,0
620,'2017/06/08 10:54:20:240',8,488.985138,278.377045,39.205238,506.439697,281.198303,41.527824,488.747192,278.5336,43.487843,452.478851,279.912354,42.085926,434.396393,288.761475,37.983757,0
621,'2017/06/08 10:54:20:290',8,502.708862,276.551941,39.478085,521.413452,280.002258,41.606457,503.706909,275.371826,43.695969,466.375,276.120117,42.445187,445.806122,285.175446,38.540237,0
622,'2017/06/08 10:54:20:340',8,509.754974,273.04895,40.170727,528.537231,276.719543,42.284576,510.829498,271.286743,44.370594,473.582642,271.869934,43.115147,452.330017,280.866577,39.271767,0
623,'2017/06/08 10:54:20:390',8,514.235413,271.346191,40.62875,533.460083,275.200989,42.720215,515.737854,269.101013,44.855103,478.725586,269.778381,43.63512,456.743744,278.358887,39.81366,0
624,'2017/06/08 10:54:20:440',8,516.364624,266.677002,41.06604,535.645325,270.449768,43.230591,517.535217,263.447998,45.330944,480.523041,264.095978,44.062214,458.243408,272.035095,40.244446,0
625,'2017/06/08 10:54:20:490',8,516.916992,258.805664,41.724976,536.899048,262.390137,44.03677,519.073425,254.558304,46.045692,482.049591,254.724335,44.729248,459.403076,262.473724,40.961258,0
626,'2017/06/08 10:54:20:540',8,515.15686,251.849228,41.996326,535.059692,255.555908,44.411175,517.151001,247.170242,46.396019,480.200409,247.466721,45.060833,457.464142,254.534393,41.258907,0
627,'2017/06/08 10:54:20:592',8,510.795959,242.772186,42.357414,528.574463,247.054276,44.980354,510.583099,238.252655,46.916965,473.758728,238.53363,45.512585,451.423004,245.020264,41.642914,0
628,'2017/06/08 10:54:20:639',8,505.631836,236.115326,42.649654,521.77002,240.912018,45.490093,503.490173,231.504364,47.356159,467.054138,232.181702,45.84692,445.418762,237.734985,41.861176,0
629,'2017/06/08 10:54:20:689',8,499.009644,227.358582,43.314102,513.552551,233.090759,46.426277,496.010803,222.657745,48.215569,460.154449,223.554138,46.655605,438.68161,227.514099,42.54398,0
630,'2017/06/08 10:54:20:740',8,491.109131,220.281494,43.680336,504.298859,226.372894,47.006882,486.495209,214.549164,48.681763,451.060455,217.52948,47.164387,429.848938,220.987366,42.994186,0
631,'2017/06/08 10:54:20:790',8,484.650452,214.597168,43.972466,494.573395,221.671326,47.50013,477.189056,208.607147,49.120373,441.650452,212.296692,47.580486,420.86731,214.890564,43.334404,0
632,'2017/06/08 10:54:20:840',8,478.499756,210.808685,44.227863,487.654358,218.469086,47.820175,470.822083,203.830048,49.46067,434.626007,208.799774,48.001663,413.611969,210.65094,43.731709,0
633,'2017/06/08 10:54:20:890',8,471.536682,207.838684,44.457466,480.638885,215.76651,48.156258,463.853638,200.476349,49.782066,427.283325,206.074463,48.34293,406.294861,207.272278,44.016312,0
634,'2017/06/08 10:54:20:940',8,464.162079,205.167267,44.680885,473.929657,213.436646,48.558044,457.477966,197.745667,50.153198,420.399994,204.092865,48.747795,399.358368,205.337158,44.41254,0
635,'2017/06/08 10:54:20:990',8,455.265259,204.235413,44.699654,464.660126,212.936981,48.766277,448.360809,197.176453,50.337498,411.204041,204.037689,48.911198,390.312592,205.025665,44.532856,0
636,'2017/06/08 10:54:21:039',8,447.522736,204.962524,44.614021,455.689362,214.118988,48.78756,439.488129,198.306091,50.348454,402.382538,205.254883,48.818478,382.16925,205.94046,44.380646,0
637,'2017/06/08 10:54:21:090',8,439.532318,206.613129,44.468849,447.616119,216.409943,48.70509,431.667267,200.640137,50.34671,394.333527,207.77243,48.798336,374.026093,208.076843,44.364262,0
638,'2017/06/08 10:54:21:140',8,431.695221,207.799896,44.11628,437.989655,218.223572,48.567608,421.900757,202.706146,50.184475,384.598236,209.700684,48.518715,365.13147,210.051758,44.026268,0
639,'2017/06/08 10:54:21:190',8,426.240112,209.262482,43.632866,430.710632,219.959229,48.27536,414.371704,204.445831,49.826378,377.22998,211.784973,48.116966,358.243103,212.372192,43.590481,0
640,'2017/06/08 10:54:21:240',8,424.030548,210.379303,43.526161,428.305847,221.200378,48.194435,412.425507,205.314362,49.739056,374.806122,213.048157,48.029678,355.908691,213.682159,43.500633,0
641,'2017/06/08 10:54:21:291',8,422.466064,211.88913,43.436535,426.107025,222.973877,48.12709,411.106201,206.222351,49.662701,372.727417,214.673981,47.927448,354.08313,215.144196,43.37825,0
642,'2017/06/08 10:54:21:340',8,421.859985,212.636505,43.371017,425.104126,223.671753,48.125725,410.28894,207.108826,49.645405,371.698639,215.618805,47.880005,353.1987,216.029297,43.316414,0
643,'2017/06/08 10:54:27:790',9,557.60083,262.874847,45.776604,501.883698,164.208099,41.99646,429.210693,152.035706,40.306679,363.086182,164.719574,38.620316,292.941284,202.255127,36.526108,1
644,'2017/06/08 10:54:27:841',9,557.881348,263.726196,45.500195,504.744324,165.246643,42.139847,432.106781,152.587219,40.50069,365.467072,164.850189,38.802135,294.880371,202.008453,36.756477,1
645,'2017/06/08 10:54:27:891',9,559.453491,264.471985,45.294506,507.599609,165.834198,42.254272,434.926575,152.692688,40.62196,367.705933,164.634064,38.956791,296.491425,201.591431,36.987919,1
646,'2017/06/08 10:54:27:942',9,562.323364,265.41748,45.097576,511.705994,166.69812,42.325375,438.882111,153.292419,40.80809,371.362915,165.249725,39.35585,299.588043,202.042267,37.468536,1
647,'2017/06/08 10:54:27:991',9,565.548218,266.063721,45.008339,516.615723,167.453613,42.329353,443.872131,153.867615,40.880138,376.102539,165.839508,39.626076,303.970703,202.566742,37.898968,1
648,'2017/06/08 10:54:28:040',9,566.282593,266.726288,45.024639,519.881104,168.01947,42.466282,447.163574,154.054321,41.009155,379.139587,166.12146,39.979187,306.686707,202.56839,38.2169,1
649,'2017/06/08 10:54:28:091',9,566.490112,267.742584,45.067001,522.368286,168.85498,42.575611,449.659943,154.421173,41.027771,381.549591,166.583771,40.157471,308.73764,202.819672,38.398788,1
650,'2017/06/08 10:54:28:142',9,562.425903,269.585693,45.233982,524.097168,170.46579,42.663898,451.677246,155.526703,41.058796,383.378723,167.493286,40.251465,310.43927,203.143768,38.468735,1
651,'2017/06/08 10:54:28:190',9,557.391296,271.806641,45.476665,524.897827,172.35611,43.199154,453.177643,156.51651,41.438286,384.580261,168.006683,40.566467,311.049805,202.924133,38.610214,1
652,'2017/06/08 10:54:28:241',9,549.217468,277.18219,45.328671,527.452454,177.282471,44.285137,457.902344,159.006378,42.30463,388.494781,168.8255,41.188046,312.356079,201.778534,38.739159,1
653,'2017/06/08 10:54:28:293',9,542.627136,282.806061,46.030319,529.628174,182.367493,44.735958,461.880493,163.052429,42.624699,392.099396,171.501221,41.247833,314.086426,203.104126,38.64624,1
654,'2017/06/08 10:54:28:341',9,526.424133,293.635071,46.411018,527.423523,192.264069,45.079166,461.881317,172.280121,43.22155,392.063934,178.531586,41.271206,311.756531,207.931183,38.142136,1
655,'2017/06/08 10:54:28:391',9,497.811554,302.914246,47.268837,518.245239,202.439484,46.459015,457.195007,180.019257,43.941418,389.073975,183.340027,40.989033,308.164612,209.275299,36.697495,1
656,'2017/06/08 10:54:28:443',9,503.67804,298.917572,47.499763,517.974792,197.544739,45.691444,455.68634,177.537689,43.778175,386.760498,182.120758,41.17852,304.710999,209.118591,37.064072,1
657,'2017/06/08 10:54:28:491',9,503.811127,300.225555,46.811264,515.633972,198.417358,45.752541,453.766663,178.799164,44.345757,383.219147,183.051636,41.963158,295.323853,210.583893,37.615833,1
658,'2017/06/08 10:54:28:542',9,498.298615,307.614624,45.689705,508.171204,206.874939,46.157166,447.118683,185.567871,44.403301,376.548584,189.326233,41.805336,287.554413,216.648682,36.976364,1
659,'2017/06/08 10:54:28:591',9,497.39856,309.620544,44.467808,500.286194,209.39212,45.533539,438.145691,188.387299,43.718441,367.411621,192.999695,41.026211,279.869141,221.830383,36.188408,1
660,'2017/06/08 10:54:28:641',9,501.33548,313.039124,43.657848,496.320068,213.131348,44.593792,432.909943,192.807953,42.511497,362.017151,198.810028,39.719051,277.06427,229.906525,34.973999,1
661,'2017/06/08 10:54:28:691',9,515.858398,317.412354,43.579975,501.868469,217.706696,43.23568,436.634186,198.882324,40.758759,366.40564,206.998291,38.048321,284.59726,240.873718,33.763954,1
662,'2017/06/08 10:54:28:742',9,524.397705,318.773621,43.276997,507.484436,219.197327,42.93029,441.563904,200.731293,40.489754,371.414856,209.359955,37.883865,290.421478,243.798065,33.753517,1
663,'2017/06/08 10:54:28:791',9,552.930664,320.801392,43.333397,528.539734,221.967865,42.674267,460.393616,204.671021,40.462269,390.350464,214.87326,38.377216,311.012726,250.871124,34.911518,1
664,'2017/06/08 10:54:28:841',9,572.355957,320.430298,43.587318,544.507568,222.452576,43.244034,474.786896,205.708466,41.35466,405.010559,216.704834,39.650269,326.988739,253.312469,36.591698,1
665,'2017/06/08 10:54:28:891',9,591.758728,315.903931,44.847061,561.39209,219.045837,44.210247,491.082336,202.748779,42.402557,421.873016,214.518524,41.081955,345.345825,251.195084,38.422039,1
666,'2017/06/08 10:54:28:940',9,603.797974,310.511841,45.936607,574.17041,214.293335,45.134193,503.921936,197.796021,43.436085,434.848389,209.426086,42.390594,358.171478,245.552994,40.087845,1
667,'2017/06/08 10:54:28:993',9,614.130432,303.648315,47.757839,583.794495,208.164642,46.750023,513.620728,191.671143,45.026066,444.855408,203.268433,44.061531,368.440521,239.285309,41.95649,1
668,'2017/06/08 10:54:29:041',9,618.958618,295.47699,49.108444,589.385376,200.661926,47.986889,519.052185,184.104004,46.383034,450.549866,195.652161,45.627014,373.870544,231.445435,43.793171,1
669,'2017/06/08 10:54:29:091',9,619.436523,285.386139,50.089218,591.761719,191.180786,48.889275,521.946045,174.500427,47.293285,453.351166,185.893921,46.619072,377.359467,221.090454,44.872498,1
670,'2017/06/08 10:54:29:140',9,618.02124,274.250366,51.014309,591.084229,180.370941,49.282047,522.069336,163.662567,47.495697,453.44165,174.885406,46.806812,377.097504,210.019501,45.220665,1
671,'2017/06/08 10:54:29:192',9,610.600647,261.666351,52.088856,583.793213,168.286621,49.070957,515.529053,152.316376,46.755589,447.947998,163.732605,45.711868,372.298096,199.511963,44.13483,1
672,'2017/06/08 10:54:29:242',9,594.526611,248.491257,52.965355,567.074707,156.116394,49.028259,499.833679,140.755737,46.096153,433.433441,152.647247,44.701073,359.967285,188.753693,43.030323,1
673,'2017/06/08 10:54:29:290',9,573.900146,238.158234,53.724426,547.186768,146.477448,49.099819,481.059021,131.072449,45.660763,415.654449,142.854218,44.039551,341.7901,178.912262,42.362747,1
